key,exists,size,path
checkpoint,True,1353422,e\881\解释\bounded-objective-loss-signal-bridge-target-only-memory-completion-surface-stabilization-training-run\run\checkpoint.pt
tokenizer,True,550,e\881\解释\bounded-objective-loss-signal-bridge-target-only-memory-completion-surface-stabilization-training-run\run\tokenizer.json
metrics,True,2812,e\881\解释\bounded-objective-loss-signal-bridge-target-only-memory-completion-surface-stabilization-training-run\run\metrics.jsonl
train_config,True,1303,e\881\解释\bounded-objective-loss-signal-bridge-target-only-memory-completion-surface-stabilization-training-run\run\train_config.json
run_manifest,True,11573,e\881\解释\bounded-objective-loss-signal-bridge-target-only-memory-completion-surface-stabilization-training-run\run\run_manifest.json
sample,True,186,e\881\解释\bounded-objective-loss-signal-bridge-target-only-memory-completion-surface-stabilization-training-run\run\sample.txt
prepared_corpus,True,8302,e\881\解释\bounded-objective-loss-signal-bridge-target-only-memory-completion-surface-stabilization-training-run\run\prepared_corpus.txt
