arm,kl_fwd_mean,kl_fwd_std,kl_fwd_median,kl_full_mean,excess_kl_vs_teacher,leakage,entropy_bias
scratch_hard,4.476106,0.322516,5.140715,4.476627,4.434884,0.00052,-1.121928
teacher_argmax_hard,3.51566,0.032233,3.87388,3.516163,3.474438,0.000502,-1.121421
teacher_soft,0.049635,0.001847,0.037086,0.051129,0.008413,0.001492,0.052124
label_smooth,1.298118,0.038132,1.530259,1.777795,1.256896,0.381015,-0.782501
shuffled_teacher,2.4163,0.039528,2.855184,2.948399,2.375078,0.386086,-0.681069
oracle_true_P,0.00184,0.001075,0.001472,0.002374,-0.039382,0.000534,0.003712
