path,line_count,bucket,waived,waiver_status,waiver_baseline_lines
src/minigpt/model_capability_required_term_holdout.py,416,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_decision_artifacts.py,415,within_limit,False,not_waived,
src/minigpt/tiny_scorecard_comparison_smoke_summary.py,412,within_limit,False,not_waived,
tests/test_training_scale_run_decision.py,412,within_limit,False,not_waived,
scripts/train.py,411,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_scaffold_probe.py,411,within_limit,False,not_waived,
src/minigpt/registry_run_summary.py,409,within_limit,False,not_waived,
src/minigpt/generation_profile_contract_check.py,408,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_branch_retention_sweep.py,406,within_limit,False,not_waived,
src/minigpt/spec_decode_v1170.py,405,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_direct_prompt_training.py,404,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_loss_branch_sweep.py,404,within_limit,False,not_waived,
src/minigpt/generation_quality_artifacts.py,403,within_limit,False,not_waived,
src/minigpt/training_portfolio_comparison.py,403,within_limit,False,not_waived,
src/minigpt/training_portfolio_batch_artifacts.py,401,within_limit,False,not_waived,
src/minigpt/_root_lazy_exports_core.py,400,within_limit,False,not_waived,
src/minigpt/model_capability_loss_signal_bridge_decoder_anchor_distribution.py,397,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_decoding_sweep_core.py,397,within_limit,False,not_waived,
tests/test_model_capability_required_term_pair_curriculum.py,397,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_curriculum_core.py,395,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_contrast_free_training.py,394,within_limit,False,not_waived,
src/minigpt/dataset_card_artifacts.py,393,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_one_term_isolation.py,393,within_limit,False,not_waived,
src/minigpt/release_readiness.py,391,within_limit,False,not_waived,
src/minigpt/registry_release_readiness_delta_stats.py,389,within_limit,False,not_waived,
src/minigpt/maintenance_policy_governance_artifacts.py,388,within_limit,False,not_waived,
tests/test_benchmark_scorecard.py,388,within_limit,False,not_waived,
tests/test_promoted_training_scale_seed_handoff_receipt_contract.py,387,within_limit,False,not_waived,
src/minigpt/comparison_artifacts.py,386,within_limit,False,not_waived,
src/minigpt/release_bundle_artifacts.py,386,within_limit,False,not_waived,
src/minigpt/benchmark_scorecard_decision_artifacts.py,385,within_limit,False,not_waived,
src/minigpt/training_scale_run_decision.py,385,within_limit,False,not_waived,
src/minigpt/unassisted_loss_suffix_repair_seed_v1153.py,385,within_limit,False,not_waived,
src/minigpt/training_portfolio_comparison_review.py,383,within_limit,False,not_waived,
src/minigpt/pair_trend.py,381,within_limit,False,not_waived,
src/minigpt/file_size_ratchet.py,380,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_comparison_artifacts.py,380,within_limit,False,not_waived,
src/minigpt/model_card_artifacts.py,379,within_limit,False,not_waived,
src/minigpt/request_history_summary.py,379,within_limit,False,not_waived,
src/minigpt/model_capability_holdout_scorecard_smoke.py,378,within_limit,False,not_waived,
src/minigpt/randomized_holdout_decision_index.py,377,within_limit,False,not_waived,
tests/test_benchmark_scorecard_decision.py,376,within_limit,False,not_waived,
src/minigpt/generation_quality.py,375,within_limit,False,not_waived,
src/minigpt/server_checkpoints.py,374,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_generation_profile_replay.py,372,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_handoff_receipt.py,372,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_decision.py,371,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_handoff_receipt_artifacts.py,371,within_limit,False,not_waived,
src/minigpt/experiment_card_artifacts.py,370,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_continuation_span_objective_core.py,370,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_surface_policy_replay.py,370,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_handoff_receipt_contract_check_failure_smoke.py,370,within_limit,False,not_waived,
src/minigpt/bounded_objective_loss_signal_bridge_target_only_memory_loss_token_probability_probe.py,369,within_limit,False,not_waived,
src/minigpt/reward_model_v1169.py,369,within_limit,False,not_waived,
src/minigpt/continual_v1193.py,368,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_prompt_leading_training.py,368,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_handoff_receipt_contract_render.py,368,within_limit,False,not_waived,
src/minigpt/bounded_objective_curriculum_patch_profile_sweep.py,365,within_limit,False,not_waived,
src/minigpt/maturity_narrative_artifacts.py,364,within_limit,False,not_waived,
src/minigpt/randomized_holdout_candidate_promotion_packet.py,364,within_limit,False,not_waived,
src/minigpt/benchmark_history.py,361,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_surface_policy_budget_sweep.py,360,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_handoff_receipt_contract_check_rows.py,359,within_limit,False,not_waived,
src/minigpt/baseline_candidate_handoff.py,358,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_refresh_forced_choice_diagnostic.py,356,within_limit,False,not_waived,
src/minigpt/server_post_routes.py,355,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_loss_alias_stability.py,354,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_review.py,354,within_limit,False,not_waived,
src/minigpt/training_scale_promotion_artifacts.py,354,within_limit,False,not_waived,
src/minigpt/artifact_schema_guard.py,352,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_continuation_span_heldout.py,351,within_limit,False,not_waived,
tests/test_training_scale_workflow.py,351,within_limit,False,not_waived,
src/minigpt/benchmark_scorecard_comparison_sections.py,349,within_limit,False,not_waived,
src/minigpt/promoted_training_scale_seed_handoff_assurance.py,349,within_limit,False,not_waived,
src/minigpt/training_scale_run_comparison.py,348,within_limit,False,not_waived,
src/minigpt/unassisted_holdout_repair_partial_signal_diagnostic_v1152.py,347,within_limit,False,not_waived,
src/minigpt/experiment_card.py,346,within_limit,False,not_waived,
src/minigpt/model.py,346,within_limit,False,not_waived,
src/minigpt/release_readiness_drift_contract.py,346,within_limit,False,not_waived,
src/minigpt/training_portfolio_batch.py,346,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_prompt_separation_audit.py,345,within_limit,False,not_waived,
src/minigpt/release_readiness_panels.py,344,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_refresh_forced_choice.py,343,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_pair_surface_variant_replay.py,343,within_limit,False,not_waived,
src/minigpt/maturity.py,342,within_limit,False,not_waived,
src/minigpt/release_gate_comparison_artifacts.py,342,within_limit,False,not_waived,
src/minigpt/model_capability_required_term_uptake.py,341,within_limit,False,not_waived,
src/minigpt/training_scale_plan.py,341,within_limit,False,not_waived,
scripts/check_type_analysis.py,340,within_limit,False,not_waived,
scripts/check_archived_path_portability.py,339,within_limit,False,not_waived,
src/minigpt/project_audit_builder.py,339,within_limit,False,not_waived,
src/minigpt/decoder_anchor_holdout_comparison_v1147.py,337,within_limit,False,not_waived,
src/minigpt/baseline_candidate_eval_loop.py,336,within_limit,False,not_waived,
